url,content
https://quotes.toscrape.com/tag/love/,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”"
https://quotes.toscrape.com/tag/love/,"“If you can make a woman laugh, you can make her do anything.”"
https://quotes.toscrape.com/tag/love/,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”
https://quotes.toscrape.com/tag/love/,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”"
https://quotes.toscrape.com/tag/love/,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”"
https://quotes.toscrape.com/page/2/,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
https://quotes.toscrape.com/page/2/,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”"
https://quotes.toscrape.com/page/2/,"“If you can't explain it to a six year old, you don't understand it yourself.”"
https://quotes.toscrape.com/page/2/,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"
https://quotes.toscrape.com/page/2/,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”"
https://quotes.toscrape.com/page/2/,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”"
https://quotes.toscrape.com/page/2/,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”"
https://quotes.toscrape.com/page/2/,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
https://quotes.toscrape.com/page/2/,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
https://quotes.toscrape.com/page/2/,“Life is what happens to us while we are making other plans.”
https://quotes.toscrape.com/tag/simile/page/1/,"“A day without sunshine is like, you know, night.”"
https://quotes.toscrape.com/tag/simile/page/1/,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”"
https://quotes.toscrape.com/tag/simile/page/1/,"“He's like a drug for you, Bella.”"
https://quotes.toscrape.com/tag/inspirational/,“Only in the darkness can you see the stars.”
https://quotes.toscrape.com/tag/inspirational/,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”"
https://quotes.toscrape.com/tag/obvious/page/1/,"“A day without sunshine is like, you know, night.”"
https://quotes.toscrape.com/tag/misattributed-eleanor-roosevelt/page/1/,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
https://quotes.toscrape.com/tag/paraphrased/page/1/,"“I have not failed. I've just found 10,000 ways that won't work.”"
https://quotes.toscrape.com/tag/paraphrased/page/1/,“Not all of us can do great things. But we can do small things with great love.”
https://quotes.toscrape.com/tag/failure/page/1/,"“I have not failed. I've just found 10,000 ways that won't work.”"
https://quotes.toscrape.com/tag/edison/page/1/,"“I have not failed. I've just found 10,000 ways that won't work.”"
https://quotes.toscrape.com/tag/novelist-quotes/page/1/,“There is no friend as loyal as a book.”
https://quotes.toscrape.com/tag/misattributed-mark-twain/page/1/,“A lie can travel half way around the world while the truth is putting on its shoes.”
https://quotes.toscrape.com/tag/self-indulgence/page/1/,“The reason I talk to myself is because I’m the only one whose answers I accept.”
https://quotes.toscrape.com/tag/lying/page/1/,“The reason I talk to myself is because I’m the only one whose answers I accept.”
https://quotes.toscrape.com/tag/lies/page/1/,“The reason I talk to myself is because I’m the only one whose answers I accept.”
https://quotes.toscrape.com/tag/courage/page/1/,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”"
https://quotes.toscrape.com/tag/courage/page/1/,“It takes courage to grow up and become who you really are.”
https://quotes.toscrape.com/tag/open-mind/page/1/,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”"
https://quotes.toscrape.com/tag/girls/page/1/,"“If you can make a woman laugh, you can make her do anything.”"
https://quotes.toscrape.com/tag/love/page/2/,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”"
https://quotes.toscrape.com/tag/love/page/2/,“If I had a flower for every time I thought of you...I could walk through my garden forever.”
https://quotes.toscrape.com/tag/love/page/2/,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”"
https://quotes.toscrape.com/tag/love/page/2/,“To die will be an awfully big adventure.”
https://quotes.toscrape.com/tag/misattributed-to-mother-teresa/page/1/,“Not all of us can do great things. But we can do small things with great love.”
http://quotes.toscrape.com/,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
http://quotes.toscrape.com/,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
http://quotes.toscrape.com/,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
http://quotes.toscrape.com/,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
http://quotes.toscrape.com/,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
http://quotes.toscrape.com/,“Try not to become a man of success. Rather become a man of value.”
http://quotes.toscrape.com/,“It is better to be hated for what you are than to be loved for what you are not.”
http://quotes.toscrape.com/,"“I have not failed. I've just found 10,000 ways that won't work.”"
http://quotes.toscrape.com/,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
http://quotes.toscrape.com/,"“A day without sunshine is like, you know, night.”"
https://quotes.toscrape.com/page/3/,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”"
https://quotes.toscrape.com/page/3/,“For every minute you are angry you lose sixty seconds of happiness.”
https://quotes.toscrape.com/page/3/,"“If you judge people, you have no time to love them.”"
https://quotes.toscrape.com/page/3/,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
https://quotes.toscrape.com/page/3/,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
https://quotes.toscrape.com/page/3/,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”"
https://quotes.toscrape.com/page/3/,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”"
https://quotes.toscrape.com/page/3/,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”"
https://quotes.toscrape.com/page/3/,“Logic will get you from A to Z; imagination will get you everywhere.”
https://quotes.toscrape.com/page/3/,"“One good thing about music, when it hits you, you feel no pain.”"
https://quotes.toscrape.com/tag/humor/page/2/,“I am free of all prejudice. I hate everyone equally. ”
https://quotes.toscrape.com/tag/humor/page/2/,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”"
https://quotes.toscrape.com/tag/fantasy/page/1/,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”"
https://quotes.toscrape.com/page/1/,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
https://quotes.toscrape.com/page/1/,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
https://quotes.toscrape.com/page/1/,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
https://quotes.toscrape.com/page/1/,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
https://quotes.toscrape.com/page/1/,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
https://quotes.toscrape.com/page/1/,“Try not to become a man of success. Rather become a man of value.”
https://quotes.toscrape.com/page/1/,“It is better to be hated for what you are than to be loved for what you are not.”
https://quotes.toscrape.com/page/1/,"“I have not failed. I've just found 10,000 ways that won't work.”"
https://quotes.toscrape.com/page/1/,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
https://quotes.toscrape.com/page/1/,"“A day without sunshine is like, you know, night.”"
https://quotes.toscrape.com/tag/poetry/page/1/,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”"
https://quotes.toscrape.com/tag/understand/page/1/,"“If you can't explain it to a six year old, you don't understand it yourself.”"
https://quotes.toscrape.com/tag/simplicity/page/1/,"“If you can't explain it to a six year old, you don't understand it yourself.”"
https://quotes.toscrape.com/tag/inspirational/page/2/,“Life isn't about finding yourself. Life is about creating yourself.”
https://quotes.toscrape.com/tag/inspirational/page/2/,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”"
https://quotes.toscrape.com/tag/inspirational/page/2/,"“A person's a person, no matter how small.”"
https://quotes.toscrape.com/tag/hope/page/1/,“Only in the darkness can you see the stars.”
https://quotes.toscrape.com/tag/hope/page/1/,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”"
https://quotes.toscrape.com/tag/food/page/1/,“All you need is love. But a little chocolate now and then doesn't hurt.”
https://quotes.toscrape.com/tag/chocolate/page/1/,“All you need is love. But a little chocolate now and then doesn't hurt.”
https://quotes.toscrape.com/tag/life/page/2/,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”
